Date,Protein(g)
2022-11-07,108.870
2022-11-08,95.640
2022-11-09,87.400
2022-11-10,87.400
2022-11-11,105.740
2022-11-12,83.780
2022-11-13,92.590
2022-11-14,71.700
2022-11-15,142.360
2022-11-16,150.810
2022-11-17,150.810
2022-11-18,152.180
2022-11-19,155.330
2022-11-20,183.110
2022-11-21,125.270
2022-11-22,93.890
2022-11-23,143.130
2022-11-24,143.130
2022-11-25,157.490
2022-11-26,88.730
2022-11-27,94.720
2022-11-28,113.130
2022-11-29,131.260
2022-11-30,130.970
2022-12-01,126.760
2022-12-02,129.450
2022-12-03,136.380
2022-12-04,107.150
2022-12-05,144.850
2022-12-06,161.880
2022-12-07,130.210
2022-12-08,157.820
2022-12-09,129.100
2022-12-10,
2022-12-11,
2022-12-12,122.570
2022-12-13,
2022-12-14,146.710
2022-12-15,146.710
2022-12-16,35.850
2022-12-17,
2022-12-18,
2022-12-19,180.880
2022-12-20,180.880
2022-12-21,146.270
2022-12-22,
2022-12-23,146.270
2022-12-24,167.850
2022-12-25,146.150
2022-12-26,80.050
2022-12-27,89.860
2022-12-28,117.290
2022-12-29,84.160
2022-12-30,66.860
2022-12-31,17.710
2023-01-01,
2023-01-02,
2023-01-03,118.400
2023-01-04,89.150
2023-01-05,119.770
2023-01-06,130.330
2023-01-07,103.710
2023-01-08,81.980
2023-01-09,86.450
2023-01-10,73.150
2023-01-11,110.080
2023-01-12,101.300
2023-01-13,109.300
2023-01-14,99.210
2023-01-15,81.550
2023-01-16,101.600
2023-01-17,128.650
2023-01-18,138.250
2023-01-19,154.460
2023-01-20,131.540
2023-01-21,64.610
2023-01-22,
2023-01-23,115.860
2023-01-24,94.600
2023-01-25,145.430
2023-01-26,85.130
2023-01-27,119.770
2023-01-28,114.960
2023-01-29,123.250
2023-01-30,130.860
2023-01-31,123.950
2023-02-01,122.020
2023-02-02,149.170
2023-02-03,73.420
2023-02-04,
2023-02-05,
2023-02-06,
2023-02-07,35.930
2023-02-08,
2023-02-09,39.460
2023-02-10,
2023-02-11,
2023-02-12,
2023-02-13,76.650
2023-02-14,
2023-02-15,102.710
2023-02-16,112.440
2023-02-17,
2023-02-18,
2023-02-19,33.360
2023-02-20,147.230
2023-02-21,152.910
2023-02-22,155.320
2023-02-23,157.410
2023-02-24,125.180
2023-02-25,110.410
2023-02-26,114.590
2023-02-27,153.280
2023-02-28,91.330
2023-03-01,115.150
2023-03-02,103.130
2023-03-03,123.780
2023-03-04,64.350
2023-03-05,
2023-03-06,134.590
2023-03-07,81.950
2023-03-08,
2023-03-09,
2023-03-10,
2023-03-11,
2023-03-12,
2023-03-13,
2023-03-14,
2023-03-15,
2023-03-16,
2023-03-17,
2023-03-18,
2023-03-19,
2023-03-20,
2023-03-21,
2023-03-22,
2023-03-23,91.120
2023-03-24,
2023-03-25,
2023-03-26,
2023-03-27,
2023-03-28,
2023-03-29,
2023-03-30,
2023-03-31,89.450
2023-04-01,105.930
2023-04-02,87.140
2023-04-03,15.920
2023-04-04,0.360
2023-04-05,35.160
2023-04-06,
2023-04-07,
2023-04-08,
2023-04-09,
2023-04-10,
2023-04-11,
2023-04-12,
2023-04-13,
2023-04-14,1.290
2023-04-15,
2023-04-16,33.270
2023-04-17,48.390
2023-04-18,107.040
2023-04-19,127.580
2023-04-20,98.170
2023-04-21,128.670
2023-04-22,33.670
2023-04-23,
2023-04-24,110.890
2023-04-25,94.960
2023-04-26,97.840
2023-04-27,23.780
2023-04-28,2.210
2023-04-29,
2023-04-30,
2023-05-01,
2023-05-02,
2023-05-03,108.840
2023-05-04,32.750
2023-05-05,
2023-05-06,59.230
2023-05-07,
2023-05-08,26.810
2023-05-09,91.830
2023-05-10,107.630
2023-05-11,93.210
2023-05-12,119.540
2023-05-13,103.620
2023-05-14,82.270
2023-05-15,125.040
2023-05-16,140.210
2023-05-17,96.670
2023-05-18,140.620
2023-05-19,77.700
2023-05-20,102.590
2023-05-21,91.320
2023-05-22,87.690
2023-05-23,84.440
2023-05-24,98.920
2023-05-25,84.530
2023-05-26,123.850
2023-05-27,112.660
2023-05-28,50.880
2023-05-29,86.370
2023-05-30,105.840
2023-05-31,131.320
2023-06-01,93.930
2023-06-02,115.450
2023-06-03,15.880
2023-06-04,65.150
2023-06-05,129.300
2023-06-06,63.050
2023-06-07,139.610
2023-06-08,115.820
2023-06-09,130.970
2023-06-10,87.860
2023-06-11,67.870
2023-06-12,157.950
2023-06-13,93.710
2023-06-14,125.030
2023-06-15,24.570
2023-06-16,85.430
2023-06-17,91.470
2023-06-18,58.450
2023-06-19,111.610
2023-06-20,84.890
2023-06-21,100.640
2023-06-22,66.880
2023-06-23,124.100
2023-06-24,49.160
2023-06-25,98.080
2023-06-26,129.510
2023-06-27,32.970
2023-06-28,
2023-06-29,
2023-06-30,93.770
2023-07-01,
2023-07-02,32.970
2023-07-03,103.590
2023-07-04,
2023-07-05,
2023-07-06,42.960
2023-07-07,
2023-07-08,
2023-07-09,14.800
2023-07-10,109.640
2023-07-11,83.860
2023-07-12,76.110
2023-07-13,96.680
2023-07-14,119.500
2023-07-15,65.450
2023-07-16,78.550
2023-07-17,113.170
2023-07-18,104.220
2023-07-19,113.290
2023-07-20,
2023-07-21,
2023-07-22,
2023-07-23,69.710
2023-07-24,110.510
2023-07-25,111.090
2023-07-26,35.560
2023-07-27,33.970
2023-07-28,59.640
2023-07-29,
2023-07-30,
2023-07-31,
2023-08-01,
2023-08-02,
2023-08-03,
2023-08-04,
2023-08-05,
2023-08-06,
2023-08-07,
2023-08-08,64.930
2023-08-09,125.150
2023-08-10,38.700
2023-08-11,
2023-08-12,
2023-08-13,
2023-08-14,
2023-08-15,
2023-08-16,
2023-08-17,
2023-08-18,
2023-08-19,
2023-08-20,
2023-08-21,
2023-08-22,
2023-08-23,
2023-08-24,
2023-08-25,36.250
2023-08-26,70.780
2023-08-27,
2023-08-28,121.980
2023-08-29,27.780
2023-08-30,68.360
2023-08-31,
2023-09-01,
2023-09-02,94.500
2023-09-03,
2023-09-04,85.020
2023-09-05,
2023-09-06,70.780
2023-09-07,107.080
2023-09-08,92.830
2023-09-09,105.510
2023-09-10,49.310
2023-09-11,122.590
2023-09-12,108.000
2023-09-13,
2023-09-14,122.880
2023-09-15,25.010
2023-09-16,
2023-09-17,
2023-09-18,
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,32.970
2023-09-23,
2023-09-24,
2023-09-25,139.680
2023-09-26,122.940
2023-09-27,119.810
2023-09-28,112.880
2023-09-29,88.700
2023-09-30,74.200
2023-10-01,116.180
2023-10-02,92.780
2023-10-03,108.430
2023-10-04,119.450
2023-10-05,73.270
2023-10-06,
2023-10-07,
2023-10-08,
2023-10-09,
2023-10-10,
2023-10-11,
2023-10-12,105.050
2023-10-13,175.750
2023-10-14,148.800
2023-10-15,120.690
2023-10-16,163.900
2023-10-17,14.170
2023-10-18,129.160
2023-10-19,75.450
2023-10-20,164.460
2023-10-21,
2023-10-22,
2023-10-23,100.610
2023-10-24,102.950
2023-10-25,104.660
2023-10-26,138.980
2023-10-27,34.070
2023-10-28,
2023-10-29,
2023-10-30,
2023-10-31,27.660
